k,eigval,r_expect,PR,x_scaled_log
0,-0.2944869370877091,1.0114767628165855,1.59716278488069,0.0
1,-0.29448693708761,1.0114767628165844,1.8700344338952504,0.0
2,-0.29448693708760415,1.0114767628165853,1.1735028433321597,0.0
3,-0.29448693708759477,1.0114767628165848,1.1908146795903871,0.0
4,5.133682017147809,1.2163699242277448,1.1045580130341317,1.0
5,5.133682017147825,1.2163699242277461,1.4885973378737605,1.0
6,5.133682017147838,1.216369924227744,1.444332211512454,1.0
7,5.133682017147866,1.2163699242277455,1.3453643525687033,1.0
8,20.060439538441265,1.498326497262425,1.4121001859163682,2.0
9,20.06043953844139,1.4983264972624255,1.0299891081628416,2.0
10,20.06043953844139,1.4983264972624255,2.5404032960738583,2.0
11,20.060439538441482,1.4983264972624255,2.058377331125474,2.0
12,45.04283833239071,1.8363724890889934,1.2131068349563368,3.0
13,45.04283833239082,1.8363724890889934,1.1804490086554325,3.0
14,45.04283833239083,1.8363724890889939,1.0069492426310414,3.0
15,45.042838332390936,1.8363724890889939,1.0395289584846275,3.0
16,80.0129202789359,2.249819484749225,1.0796462898717503,3.9999999999999996
17,80.01292027893602,2.2498194847492234,1.1911883444686053,3.9999999999999996
18,80.01292027893615,2.2498194847492266,1.1866176926189689,3.9999999999999996
19,80.01292027893629,2.249819484749224,1.0033426125624645,3.9999999999999996
